iter	Passed	Remaining
1042	105396	96705
1043	105523	96628
1044	105652	96553
1045	105781	96477
1046	105899	96392
1047	106004	96294
1048	106110	96196
1049	106215	96099
1050	106322	96003
1051	106426	95905
1052	106531	95807
1053	106636	95709
1054	106740	95611
1055	106844	95512
1056	106949	95415
1057	107053	95315
1058	107158	95217
1059	107261	95118
1060	107366	95020
1061	107471	94922
1062	107573	94822
1063	107679	94725
1064	107786	94629
1065	107890	94530
1066	107997	94434
1067	108100	94334
1068	108204	94236
1069	108314	94142
1070	108420	94045
1071	108524	93946
1072	108635	93853
1073	108736	93752
1074	108841	93654
1075	108946	93556
1076	109052	93458
1077	109155	93359
1078	109259	93260
1079	109364	93162
1080	109469	93064
1081	109574	92965
1082	109678	92867
1083	109781	92767
1084	109884	92667
1085	110000	92578
1086	110103	92479
1087	110208	92380
1088	110319	92287
1089	110428	92192
1090	110535	92096
1091	110640	91997
1092	110745	91899
1093	110850	91800
1094	110955	91702
1095	111060	91604
1096	111164	91505
1097	111268	91406
1098	111376	91310
1099	111482	91212
1100	111590	91116
1101	111693	91016
1102	111797	90917
1103	111900	90818
1104	112006	90719
1105	112110	90620
1106	112215	90522
1107	112319	90423
1108	112434	90332
1109	112547	90240
1110	112670	90156
1111	112778	90060
1112	112896	89972
1113	113007	89878
1114	113123	89788
1115	113238	89698
1116	113349	89604
1117	113465	89514
1118	113569	89414
1119	113674	89315
1120	113778	89216
1121	113883	89117
1122	113987	89018
1123	114092	88919
1124	114196	88819
1125	114304	88723
1126	114414	88627
1127	114518	88528
1128	114622	88428
1129	114726	88329
1130	114832	88231
1131	114937	88132
1132	115043	88034
1133	115147	87934
1134	115253	87836
1135	115358	87737
1136	115463	87638
1137	115566	87538
1138	115671	87439
1139	115776	87340
1140	115883	87242
1141	115989	87144
1142	116093	87044
1143	116198	86945
1144	116303	86846
1145	116408	86747
1146	116513	86649
1147	116618	86549
1148	116722	86450
1149	116829	86352
1150	116934	86252
1151	117038	86153
1152	117143	86053
1153	117248	85955
1154	117353	85856
1155	117462	85759
1156	117586	85674
1157	117697	85579
1158	117802	85480
1159	117909	85382
1160	118018	85286
1161	118124	85187
1162	118229	85088
1163	118333	84988
1164	118441	84891
1165	118548	84793
1166	118653	84694
1167	118762	84598
1168	118868	84499
1169	118973	84400
1170	119077	84299
1171	119190	84206
1172	119297	84108
1173	119402	84008
1174	119512	83913
1175	119618	83814
1176	119724	83715
1177	119829	83616
1178	119936	83518
1179	120042	83419
1180	120148	83320
1181	120254	83221
1182	120360	83122
1183	120465	83023
1184	120571	82924
1185	120679	82827
1186	120785	82728
1187	120890	82628
1188	120997	82530
1189	121103	82431
1190	121208	82332
1191	121314	82233
1192	121421	82135
1193	121529	82037
1194	121636	81939
1195	121742	81840
1196	121848	81741
1197	121953	81641
1198	122063	81545
1199	122170	81446
1200	122276	81348
1201	122381	81248
1202	122486	81148
1203	122596	81052
1204	122704	80954
1205	122815	80858
1206	122924	80761
1207	123030	80662
1208	123137	80564
1209	123244	80465
1210	123351	80367
1211	123457	80267
1212	123563	80168
1213	123673	80071
1214	123779	79972
1215	123886	79874
1216	123993	79775
1217	124099	79676
1218	124206	79577
1219	124313	79479
1220	124469	79411
1221	124622	79342
1222	124751	79257
1223	124884	79174
1224	125012	79089
1225	125152	79011
1226	125282	78927
1227	125411	78842
1228	125518	78742
1229	125627	78644
1230	125732	78544
1231	125840	78445
1232	125949	78348
1233	126059	78250
1234	126165	78151
1235	126271	78051
1236	126379	77952
1237	126483	77851
1238	126592	77753
1239	126696	77652
1240	126803	77553
1241	126912	77455
1242	127021	77357
1243	127125	77256
1244	127231	77156
1245	127336	77056
1246	127442	76956
1247	127547	76855
1248	127653	76755
1249	127763	76658
1250	127871	76559
1251	127975	76458
1252	128091	76364
1253	128199	76265
1254	128306	76165
1255	128411	76065
1256	128518	75966
1257	128623	75865
1258	128730	75765
1259	128835	75665
1260	128941	75565
1261	129045	75464
1262	129151	75363
1263	129259	75264
1264	129365	75165
1265	129522	75094
1266	129675	75021
1267	129806	74935
1268	129937	74849
1269	130067	74763
1270	130199	74678
1271	130330	74591
1272	130461	74505
1273	130569	74406
1274	130675	74305
1275	130781	74205
1276	130889	74105
1277	130995	74005
1278	131101	73904
1279	131209	73805
1280	131316	73705
1281	131422	73605
1282	131531	73505
1283	131636	73404
1284	131743	73304
1285	131849	73203
1286	131954	73103
1287	132059	73001
1288	132165	72901
1289	132271	72800
1290	132377	72700
1291	132485	72600
1292	132591	72499
1293	132704	72402
1294	132812	72303
1295	132923	72205
1296	133029	72104
1297	133138	72005
1298	133246	71905
1299	133356	71807
1300	133464	71707
1301	133570	71607
1302	133677	71506
1303	133784	71406
1304	133892	71306
1305	133998	71205
1306	134105	71105
1307	134211	71004
1308	134317	70904
1309	134423	70803
1310	134529	70702
1311	134635	70601
1312	134739	70499
1313	134845	70398
